Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,Cluster_Name
12347.0,2,7,4060.4,1,1,5,7,At Risk,0,Inactive Customers
12348.0,75,4,1186.68,4,1,4,9,Promising,0,Inactive Customers
12349.0,19,1,1353.8,2,1,4,7,At Risk,0,Inactive Customers
12350.0,310,1,294.40000000000003,5,1,2,8,New Customers,1,Inactive Customers
12352.0,36,7,1385.74,3,1,4,8,Others,0,Inactive Customers
12353.0,204,1,89.0,5,1,1,7,New Customers,1,Inactive Customers
12354.0,232,1,1028.55,5,1,4,10,Promising,1,Inactive Customers
12355.0,214,1,459.4,5,1,3,9,Promising,1,Inactive Customers
12356.0,23,3,2487.43,2,1,5,8,At Risk,0,Inactive Customers
12357.0,33,1,6182.67,2,1,5,8,At Risk,0,Inactive Customers
12358.0,2,2,928.06,1,1,4,6,At Risk,0,Inactive Customers
12359.0,58,4,4817.33,3,1,5,9,Others,0,Inactive Customers
12360.0,52,3,2200.36,3,1,5,9,Others,0,Inactive Customers
12361.0,287,1,174.9,5,1,1,7,New Customers,1,Inactive Customers
12362.0,3,10,4524.78,1,1,5,7,At Risk,0,Inactive Customers
12363.0,110,2,552.0,4,1,3,8,Promising,0,Inactive Customers
12364.0,8,3,1143.3,1,1,4,6,At Risk,0,Inactive Customers
12365.0,291,1,320.69,5,1,2,8,New Customers,1,Inactive Customers
12367.0,4,1,150.9,1,1,1,3,Hibernating,0,Inactive Customers
12370.0,51,4,3304.73,3,1,5,9,Others,0,Inactive Customers
12371.0,60,1,1527.96,3,1,4,8,Others,0,Inactive Customers
12372.0,72,3,1196.04,4,1,4,9,Promising,0,Inactive Customers
12373.0,311,1,324.6,5,1,2,8,New Customers,1,Inactive Customers
12374.0,25,1,589.03,2,1,3,6,At Risk,0,Inactive Customers
12375.0,11,2,377.5,1,1,2,4,At Risk,0,Inactive Customers
12377.0,315,2,1548.12,5,1,4,10,Promising,1,Inactive Customers
12378.0,130,1,3899.29,4,1,5,10,Promising,0,Inactive Customers
12379.0,82,2,777.24,4,1,3,8,Promising,0,Inactive Customers
12380.0,22,4,2278.11,2,1,5,8,At Risk,0,Inactive Customers
12381.0,5,5,1485.31,1,1,4,6,At Risk,0,Inactive Customers
12383.0,185,5,1576.72,5,1,4,10,Promising,1,Inactive Customers
12384.0,29,2,425.27,2,1,2,5,About to Sleep,0,Inactive Customers
12386.0,338,2,401.9,5,1,2,8,New Customers,1,Inactive Customers
12388.0,16,6,2780.6600000000003,2,1,5,8,At Risk,0,Inactive Customers
12390.0,80,1,470.94,4,1,3,8,Promising,0,Inactive Customers
12391.0,22,1,443.94,2,1,2,5,About to Sleep,0,Inactive Customers
12393.0,72,4,1582.6,4,1,4,9,Promising,0,Inactive Customers
12394.0,64,2,629.9200000000001,3,1,3,7,Others,0,Inactive Customers
12395.0,19,12,2642.68,2,1,5,8,At Risk,0,Inactive Customers
12397.0,36,2,2096.25,3,1,5,9,Others,0,Inactive Customers
12398.0,46,1,1435.66,3,1,4,8,Others,0,Inactive Customers
12399.0,119,4,1033.65,4,1,4,9,Promising,0,Inactive Customers
12401.0,303,1,69.3,5,1,1,7,New Customers,1,Inactive Customers
12402.0,323,1,195.6,5,1,1,7,New Customers,1,Inactive Customers
12403.0,50,1,391.7,3,1,2,6,About to Sleep,0,Inactive Customers
