level_0,index,Customer ID,frequency,recency,T,monetary_value,predicted_purchases,expected_average_profit,CLV_12_months,Cluster,Cluster_Name,ChurnProbability,ValueSegment,Adjusted_CLV,Estimated_CAC,CLV_CAC_Ratio
0,0,12347.0,6.0,365.0,367.0,558.1016666666667,0.19894314368148344,575.4387039898184,3214.312736536121,0,Inactive Customers,0.0321406688154376,High,3111.0025754018707,642.8625473072243,4.839296655922811
1,1,12348.0,3.0,283.0,358.0,205.79999999999998,0.12239151984572288,219.79895687818515,754.9425372218636,0,Inactive Customers,0.1505276106069639,High,641.3028409482976,150.98850744437274,4.24736194696518
2,2,12352.0,6.0,260.0,296.0,181.54,0.23509522869471286,187.60364104776937,1237.9922247023092,0,Inactive Customers,0.180162925256311,High,1014.9519240553728,247.59844494046183,4.099185373718445
3,3,12356.0,2.0,303.0,325.0,269.90500000000003,0.10346523165535783,297.69627670056803,863.8451497925975,0,Inactive Customers,0.1411677587580594,High,741.8980660823563,172.7690299585195,4.2941612062097025
4,4,12358.0,1.0,149.0,150.0,523.2,0.12387157304032283,638.1613712965622,2210.3602196887764,0,Inactive Customers,0.5265636467048374,Medium,1046.4648818781488,442.0720439377553,2.367181766475813
5,5,12359.0,3.0,274.0,331.0,1506.61,0.13032852713132023,1600.8992251272691,5854.45683164737,0,Inactive Customers,0.0950415803807789,High,5298.040002096556,1170.891366329474,4.524792098096105
6,6,12360.0,2.0,148.0,200.0,638.39,0.14719367596243108,701.3838435721586,2892.8490523269766,0,Inactive Customers,0.3396232846001004,High,1910.3701553234011,578.5698104653953,3.301883576999498
7,7,12362.0,9.0,292.0,295.0,454.52,0.3290469037769249,463.9169184358873,4285.58044850712,0,Inactive Customers,0.0283677247462647,High,4164.0082819658965,857.1160897014241,4.858161376268676
8,8,12363.0,1.0,133.0,242.0,252.9,0.08304407996986307,310.76112910212976,722.3802384444823,0,Inactive Customers,0.5139141897669917,Medium,351.1387835005999,144.47604768889647,2.4304290511650413
9,9,12364.0,2.0,105.0,112.0,282.19,0.21163702279501523,311.1549025849798,1843.33373167423,0,Inactive Customers,0.4435063177721656,High,1025.803575914167,368.66674633484604,2.7824684111391713
10,10,12370.0,3.0,309.0,360.0,571.3033333333334,0.12203065537238951,607.8623571538603,2081.684577861937,0,Inactive Customers,0.0935577491212463,High,1886.9268543767628,416.33691557238745,4.5322112543937685
11,11,12372.0,2.0,225.0,296.0,416.41,0.11074078385710055,458.19737439660014,1422.8353620713317,0,Inactive Customers,0.2786673928745906,High,1026.3375412331395,284.56707241426636,3.606663035627047
12,12,12375.0,1.0,88.0,98.0,187.20000000000002,0.15679632949861685,231.18215791391594,1012.6884186874042,0,Inactive Customers,0.6092175362744675,Medium,395.7408752409774,202.53768373748085,1.9539123186276623
13,13,12377.0,1.0,39.0,354.0,546.6,0.03260448509816339,666.5045665142821,608.8283078522709,1,Inactive Customers,0.5842302659937171,High,253.132383611234,121.76566157045418,2.0788486700314146
14,14,12379.0,1.0,89.0,170.0,362.40000000000003,0.10666352093688419,443.3927477491529,1322.7711072837005,0,Inactive Customers,0.5727581003246092,Medium,565.1432407116084,264.5542214567401,2.1362094983769544
15,15,12380.0,3.0,164.0,185.0,571.8533333333334,0.19931122010378524,608.4463049614087,3399.5553913810836,0,Inactive Customers,0.222979986623827,High,2641.5225756839704,679.9110782762168,3.8851000668808644
16,16,12381.0,4.0,115.0,119.0,114.1425,0.31895125485354026,120.30359530016989,1075.2570621034483,0,Inactive Customers,0.3618858628700925,High,686.1367323769813,215.05141242068967,3.1905706856495373
17,17,12383.0,4.0,168.0,352.0,255.25,0.14666619353140878,267.84404360466334,1102.6571571670283,1,Inactive Customers,0.2929067967096084,High,779.6813813923109,220.5314314334057,3.5354660164519576
18,18,12384.0,1.0,93.0,121.0,212.58,0.1380515042263578,261.9236234962122,1010.6033156448309,0,Inactive Customers,0.5955098275715063,Medium,408.7791094019851,202.12066312896619,2.0224508621424686
19,19,12386.0,1.0,29.0,366.0,143.0,0.027098299992206268,177.64501139155593,134.8784769655909,1,Inactive Customers,0.6802099468891517,Medium,43.13279531233664,26.97569539311818,1.5989502655542414
20,20,12388.0,5.0,311.0,326.0,469.872,0.1896658126053603,487.61299611281356,2596.031306710747,0,Inactive Customers,0.1080352280373256,High,2315.5684724982148,519.2062613421493,4.459823859813372
21,21,12393.0,3.0,260.0,332.0,373.3666666666666,0.12988527141362033,397.70838891125544,1449.4721328338749,0,Inactive Customers,0.2140895883981871,High,1139.1552405208283,289.894426566775,3.9295520580090644
22,22,12394.0,1.0,154.0,217.0,278.84000000000003,0.09362888061800415,342.18089337339717,896.5745083851465,0,Inactive Customers,0.4930127745696768,Medium,454.55182239774143,179.3149016770293,2.534936127151616
23,23,12395.0,10.0,352.0,371.0,233.25799999999998,0.30085357105464383,237.77113077858377,2008.9440517431276,0,Inactive Customers,0.036270088917126,High,1936.0794723568729,401.78881034862553,4.818649555414369
24,24,12397.0,1.0,100.0,135.0,1088.14,0.12894554433133923,1322.4436237024913,4767.017674166544,0,Inactive Customers,0.4360052070146821,High,2688.5731462989115,953.4035348333088,2.8199739649265894
25,25,12399.0,3.0,142.0,261.0,253.53333333333333,0.1543241596293663,270.47854841814075,1170.799385674251,0,Inactive Customers,0.3334121037401957,Medium,780.4406994388702,234.1598771348502,3.332939481299021
26,26,12406.0,1.0,161.0,183.0,1794.05,0.10787708029083806,2177.4754585803,6571.0433548627325,0,Inactive Customers,0.3208359802868974,High,4462.816218597644,1314.2086709725465,3.3958200985655127
27,27,12407.0,4.0,215.0,264.0,302.195,0.1886075259470201,316.9292187063018,1677.1118777853853,0,Inactive Customers,0.2426730183078695,High,1270.1220763632273,335.4223755570771,3.7866349084606528
28,28,12408.0,3.0,228.0,260.0,618.6533333333333,0.15678430063187576,658.1349547673427,2894.213232510249,0,Inactive Customers,0.2167366864339259,High,2266.9310466627558,578.8426465020498,3.91631656783037
29,29,12409.0,2.0,104.0,182.0,2371.595,0.15587266195092261,2600.1675371816,11354.735535622252,0,Inactive Customers,0.2109558533388692,High,8959.387611267877,2270.9471071244507,3.9452207333056535
30,30,12412.0,2.0,95.0,169.0,332.19,0.16365476906313065,365.93156471119806,1677.5509615359292,0,Inactive Customers,0.4929082052517025,High,850.6723278669866,335.5101923071859,2.535458973741487
31,31,12413.0,2.0,271.0,337.0,130.425,0.10027367687186202,144.89130003326966,407.49811924010606,0,Inactive Customers,0.2466325746531575,Medium,306.99580892559936,81.49962384802122,3.7668371267342127
32,32,12414.0,2.0,93.0,310.0,164.325,0.09992294167363995,182.02987695484558,510.0806474776223,1,Inactive Customers,0.5869301596954165,Medium,210.69893159603998,102.01612949552447,2.0653492015229173
33,33,12415.0,13.0,313.0,337.0,4860.857692307693,0.4085399525892322,4927.242196252177,56529.200350996485,3,High-Value Active Customers,5.242359841328238e-06,High,56528.9040045867,11305.840070199298,4.999973788200792
34,34,12417.0,8.0,354.0,357.0,351.645,0.2568589876877879,359.94998908389215,2596.188388999484,0,Inactive Customers,0.0388703117811009,High,2495.2737368765997,519.2376777998968,4.805648441094495
35,35,12421.0,3.0,304.0,319.0,169.86333333333334,0.13439617640326507,181.64416104073678,684.9610159060154,0,Inactive Customers,0.1069777739107334,Medium,611.6854112087555,136.99220318120308,4.465111130446333
36,36,12422.0,2.0,229.0,324.0,222.53,0.10304900119450405,245.79538933597627,710.3676382196414,0,Inactive Customers,0.3279591568901806,Medium,477.396066507059,142.0735276439283,3.360204215549097
37,37,12423.0,7.0,353.0,353.0,201.06857142857143,0.23219809673999645,206.74283098285133,1347.901640007049,0,Inactive Customers,0.056477077576166,High,1271.7760945193295,269.58032800140984,4.717614612119169
38,38,12427.0,2.0,350.0,371.0,194.91000000000003,0.09319852223935055,215.53676117745334,563.5090837595112,0,Inactive Customers,0.2093326846230465,Medium,445.54821444665953,112.70181675190224,3.9533365768847673
39,39,12428.0,6.0,258.0,283.0,331.20666666666665,0.2433529936848297,341.7509858925535,2334.2749055690806,0,Inactive Customers,0.0510392045330573,High,2215.135371227357,466.85498111381617,4.744803977334713
