Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12347.0,2,7,4060.4,1,1,5,7,At Risk
12348.0,75,4,1186.68,4,1,4,9,Promising
12349.0,19,1,1353.8,2,1,4,7,At Risk
12350.0,310,1,294.40000000000003,5,1,2,8,New Customers
12352.0,36,7,1385.74,3,1,4,8,Others
12353.0,204,1,89.0,5,1,1,7,New Customers
12354.0,232,1,1028.55,5,1,4,10,Promising
12355.0,214,1,459.40000000000003,5,1,3,9,Promising
12356.0,23,3,2487.43,2,1,5,8,At Risk
12357.0,33,1,6182.67,2,1,5,8,At Risk
12358.0,2,2,928.0600000000001,1,1,4,6,At Risk
12359.0,58,4,4817.33,3,1,5,9,Others
12360.0,52,3,2200.36,3,1,5,9,Others
12361.0,287,1,174.9,5,1,1,7,New Customers
12362.0,3,10,4524.78,1,1,5,7,At Risk
12363.0,110,2,552.0,4,1,3,8,Promising
12364.0,8,3,1143.3,1,1,4,6,At Risk
12365.0,291,1,320.69,5,1,2,8,New Customers
12367.0,4,1,150.9,1,1,1,3,Hibernating
12370.0,51,4,3304.73,3,1,5,9,Others
12371.0,60,1,1527.96,3,1,4,8,Others
12372.0,72,3,1196.04,4,1,4,9,Promising
12373.0,311,1,324.6,5,1,2,8,New Customers
12374.0,25,1,589.03,2,1,3,6,At Risk
12375.0,11,2,377.5,1,1,2,4,At Risk
12377.0,315,2,1548.1200000000001,5,1,4,10,Promising
12378.0,130,1,3899.29,4,1,5,10,Promising
12379.0,82,2,777.24,4,1,3,8,Promising
12380.0,22,4,2278.11,2,1,5,8,At Risk
12381.0,5,5,1485.31,1,1,4,6,At Risk
12383.0,185,5,1576.72,5,1,4,10,Promising
12384.0,29,2,425.27000000000004,2,1,2,5,About to Sleep
12386.0,338,2,401.9,5,1,2,8,New Customers
12388.0,16,6,2780.6600000000003,2,1,5,8,At Risk
12390.0,80,1,470.94,4,1,3,8,Promising
12391.0,22,1,443.94,2,1,2,5,About to Sleep
12393.0,72,4,1582.6000000000001,4,1,4,9,Promising
12394.0,64,2,629.9200000000001,3,1,3,7,Others
12395.0,19,12,2642.68,2,1,5,8,At Risk
12397.0,36,2,2096.25,3,1,5,9,Others
12398.0,46,1,1435.66,3,1,4,8,Others
12399.0,119,4,1033.65,4,1,4,9,Promising
12401.0,303,1,69.3,5,1,1,7,New Customers
12402.0,323,1,195.6,5,1,1,7,New Customers
12403.0,50,1,391.7,3,1,2,6,About to Sleep
12405.0,149,1,1390.39,4,1,4,9,Promising
12406.0,22,2,3415.3,2,1,5,8,At Risk
12407.0,50,5,1420.08,3,1,4,8,Others
12408.0,33,5,2516.85,2,1,5,8,At Risk
12409.0,79,3,10950.27,4,1,5,10,Promising
12410.0,309,2,533.33,5,1,3,9,Promising
12412.0,75,3,1142.88,4,1,4,9,Promising
12413.0,67,3,656.15,3,1,3,7,Others
12414.0,217,3,442.41,5,1,2,8,New Customers
12415.0,25,15,67004.37,2,1,5,8,At Risk
12417.0,3,9,3074.5,1,1,5,7,At Risk
12418.0,113,1,668.58,4,1,3,8,Promising
12420.0,64,1,566.49,3,1,3,7,Others
12421.0,16,4,639.04,2,1,3,6,At Risk
12422.0,96,3,683.5600000000001,4,1,3,8,Promising
12423.0,1,8,1600.41,1,1,4,6,At Risk
12424.0,163,2,1608.32,4,1,4,9,Promising
12425.0,78,1,777.2,4,1,3,8,Promising
12426.0,195,1,493.78000000000003,5,1,3,9,Promising
12427.0,22,3,639.32,2,1,3,6,At Risk
12428.0,26,8,6371.36,2,1,5,8,At Risk
12429.0,9,4,3388.4,1,1,5,7,At Risk
12430.0,43,1,216.4,3,1,1,5,About to Sleep
12431.0,60,14,5137.66,3,1,5,9,Others
12432.0,43,4,4089.52,3,1,5,9,Others
12433.0,1,7,12856.51,1,1,5,7,At Risk
12434.0,85,2,806.14,4,1,3,8,Promising
12435.0,80,2,7120.450000000001,4,1,5,10,Promising
12436.0,100,1,429.01,4,1,2,7,New Customers
12437.0,2,18,4447.41,1,1,5,7,At Risk
12438.0,14,2,2466.85,1,1,5,7,At Risk
12441.0,367,1,155.55,5,1,1,7,New Customers
12442.0,3,1,144.06,1,1,1,3,Hibernating
12444.0,21,5,3647.61,2,1,5,8,At Risk
12445.0,22,1,77.4,2,1,1,4,About to Sleep
12446.0,58,1,1002.3100000000001,3,1,4,8,Others
12447.0,243,1,431.49,5,1,2,8,New Customers
12448.0,44,1,300.45,3,1,2,6,About to Sleep
12449.0,22,4,3596.29,2,1,5,8,At Risk
12450.0,156,2,197.88,4,1,1,6,New Customers
12451.0,11,5,8775.17,1,1,5,7,At Risk
12452.0,17,1,350.57,2,1,2,5,About to Sleep
12453.0,134,1,707.09,4,1,3,8,Promising
12454.0,56,1,2500.84,3,1,5,9,Others
12455.0,73,5,2181.46,4,1,5,10,Promising
12456.0,44,3,2581.04,3,1,5,9,Others
12457.0,66,6,1907.63,3,1,5,9,Others
12458.0,71,2,787.4,3,1,3,7,Others
12461.0,155,1,626.88,4,1,3,8,Promising
12462.0,19,2,937.59,2,1,4,7,At Risk
12463.0,53,4,1200.78,3,1,4,8,Others
12464.0,10,8,855.35,1,1,3,5,At Risk
12465.0,17,2,682.19,2,1,3,6,At Risk
12468.0,188,2,657.5400000000001,5,1,3,9,Promising
12471.0,2,27,17407.1,1,1,5,7,At Risk
12472.0,32,7,6000.31,2,1,5,8,At Risk
12473.0,54,3,2545.38,3,1,5,9,Others
12474.0,17,18,6642.04,2,1,5,8,At Risk
12475.0,54,1,669.38,3,1,3,7,Others
12476.0,16,11,5814.67,2,1,5,8,At Risk
12477.0,23,6,13168.89,2,1,5,8,At Risk
12478.0,4,1,545.99,1,1,3,5,At Risk
12479.0,11,1,473.2,1,1,3,5,At Risk
12480.0,28,4,2568.83,2,1,5,8,At Risk
12481.0,23,10,4952.52,2,1,5,8,At Risk
12483.0,17,8,1910.98,2,1,5,8,At Risk
12484.0,35,4,3953.7200000000003,3,1,5,9,Others
12488.0,10,3,1075.16,1,1,4,6,At Risk
12489.0,336,1,267.03000000000003,5,1,2,8,New Customers
12490.0,5,10,4859.93,1,1,5,7,At Risk
12491.0,39,1,424.40000000000003,3,1,2,6,About to Sleep
12492.0,63,2,227.21,3,1,1,5,About to Sleep
12493.0,166,2,362.79,4,1,2,7,New Customers
12494.0,16,7,1084.1,2,1,4,7,At Risk
12497.0,82,1,690.6,4,1,3,8,Promising
12498.0,21,3,349.70000000000005,2,1,2,5,About to Sleep
12500.0,50,9,2076.59,3,1,5,9,Others
12501.0,337,1,2008.44,5,1,5,11,Promising
12502.0,96,5,2875.2200000000003,4,1,5,10,Promising
12504.0,18,2,428.04999999999995,2,1,2,5,About to Sleep
12506.0,233,1,73.5,5,1,1,7,New Customers
12507.0,134,3,434.41,4,1,2,7,New Customers
12508.0,26,2,398.27,2,1,2,5,About to Sleep
12509.0,284,1,158.5,5,1,1,7,New Customers
12510.0,143,2,814.5699999999999,4,1,3,8,Promising
12512.0,66,2,138.03,3,1,1,5,About to Sleep
12513.0,113,1,558.29,4,1,3,8,Promising
12514.0,267,1,1017.6800000000001,5,1,4,10,Promising
12515.0,353,1,278.7,5,1,2,8,New Customers
12516.0,78,2,1082.38,4,1,4,9,Promising
12517.0,28,4,2322.84,2,1,5,8,At Risk
12518.0,1,5,1840.89,1,1,4,6,At Risk
12519.0,64,1,286.84000000000003,3,1,2,6,About to Sleep
12520.0,79,5,2329.31,4,1,5,10,Promising
12521.0,143,1,545.68,4,1,3,8,Promising
12522.0,39,2,156.72,3,1,1,5,About to Sleep
12523.0,19,11,1657.82,2,1,4,7,At Risk
12524.0,9,8,3654.84,1,1,5,7,At Risk
12526.0,1,3,1172.66,1,1,4,6,At Risk
12527.0,82,3,330.71000000000004,4,1,2,7,New Customers
12528.0,9,6,1628.53,1,1,4,6,At Risk
12530.0,60,4,1360.48,3,1,4,8,Others
12531.0,15,1,95.27,2,1,1,4,About to Sleep
12532.0,30,1,313.83000000000004,2,1,2,5,About to Sleep
12534.0,131,1,962.23,4,1,4,9,Promising
12535.0,92,2,716.35,4,1,3,8,Promising
12536.0,59,1,4095.26,3,1,5,9,Others
12538.0,29,1,363.95,2,1,2,5,About to Sleep
12539.0,22,4,5449.7,2,1,5,8,At Risk
12540.0,20,17,11414.69,2,1,5,8,At Risk
12541.0,30,3,841.18,2,1,3,6,At Risk
12544.0,36,1,316.7,3,1,2,6,About to Sleep
12545.0,75,2,832.39,4,1,3,8,Promising
12546.0,47,2,1021.5,3,1,4,8,Others
12547.0,198,2,151.8,5,1,1,7,New Customers
12548.0,166,1,67.19999999999999,4,1,1,6,New Customers
12550.0,79,1,824.83,4,1,3,8,Promising
12551.0,358,1,168.0,5,1,1,7,New Customers
12552.0,40,1,317.82,3,1,2,6,About to Sleep
12553.0,8,10,3278.28,1,1,5,7,At Risk
12556.0,50,2,603.71,3,1,3,7,Others
12557.0,16,4,2501.34,2,1,5,8,At Risk
12558.0,8,1,269.96,1,1,2,4,At Risk
12559.0,311,2,525.71,5,1,3,9,Promising
12560.0,5,2,1901.06,1,1,4,6,At Risk
12561.0,303,1,238.85,5,1,2,8,New Customers
12562.0,8,7,3250.14,1,1,5,7,At Risk
12564.0,261,1,352.05,5,1,2,8,New Customers
12565.0,289,1,145.92000000000002,5,1,1,7,New Customers
12566.0,86,1,297.65,4,1,2,7,New Customers
12567.0,23,10,8217.130000000001,2,1,5,8,At Risk
12569.0,2,32,3152.69,1,1,5,7,At Risk
12571.0,40,2,519.61,3,1,3,7,Others
12572.0,9,2,878.52,1,1,4,6,At Risk
12573.0,227,1,160.54000000000002,5,1,1,7,New Customers
12574.0,316,1,182.45000000000002,5,1,1,7,New Customers
12576.0,36,5,1268.93,3,1,4,8,Others
12577.0,35,3,657.8,3,1,3,7,Others
12578.0,21,2,2402.51,2,1,5,8,At Risk
12579.0,78,1,386.42,4,1,2,7,New Customers
12580.0,247,1,379.7,5,1,2,8,New Customers
12581.0,40,1,179.71,3,1,1,5,About to Sleep
12582.0,239,2,351.36,5,1,2,8,New Customers
12583.0,3,15,6503.33,1,1,5,7,At Risk
12584.0,4,9,2033.8,1,1,5,7,At Risk
12585.0,234,2,1653.96,5,1,4,10,Promising
12586.0,17,1,196.94000000000003,2,1,1,4,About to Sleep
12587.0,8,1,104.0,1,1,1,3,Hibernating
12588.0,39,1,174.89999999999998,3,1,1,5,About to Sleep
12589.0,29,2,574.68,2,1,3,6,At Risk
12590.0,211,1,8951.26,5,1,5,11,Promising
12591.0,317,1,368.85,5,1,2,8,New Customers
12592.0,92,2,401.6,4,1,2,7,New Customers
12593.0,109,3,382.1,4,1,2,7,New Customers
12594.0,38,9,3208.2200000000003,3,1,5,9,Others
12596.0,51,2,450.27,3,1,2,6,About to Sleep
12597.0,19,4,3127.72,2,1,5,8,At Risk
12598.0,10,7,2807.08,1,1,5,7,At Risk
12599.0,29,7,888.58,2,1,4,7,At Risk
12600.0,29,10,2311.04,2,1,5,8,At Risk
12601.0,190,5,447.11,5,1,2,8,New Customers
12602.0,59,1,153.12,3,1,1,5,About to Sleep
12603.0,22,1,613.1999999999999,2,1,3,6,At Risk
12604.0,79,2,236.18,4,1,2,7,New Customers
12607.0,60,1,1562.56,3,1,4,8,Others
12609.0,78,3,964.85,4,1,4,9,Promising
12610.0,23,4,1679.74,2,1,4,7,At Risk
12611.0,52,1,1049.32,3,1,4,8,Others
12612.0,74,1,668.04,4,1,3,8,Promising
12613.0,57,4,3092.38,3,1,5,9,Others
12614.0,278,1,315.6,5,1,2,8,New Customers
12615.0,2,4,2093.19,1,1,5,7,At Risk
12616.0,95,2,641.3,4,1,3,8,Promising
12617.0,29,1,355.53000000000003,2,1,2,5,About to Sleep
12618.0,22,1,137.31,2,1,1,4,About to Sleep
12619.0,16,8,1971.4799999999998,2,1,5,8,At Risk
12620.0,15,3,1303.41,2,1,4,7,At Risk
12621.0,2,20,11797.57,1,1,5,7,At Risk
12622.0,232,1,162.1,5,1,1,7,New Customers
12623.0,276,1,269.1,5,1,2,8,New Customers
12624.0,106,2,569.13,4,1,3,8,Promising
12625.0,212,2,2413.82,5,1,5,11,Promising
12626.0,23,9,5954.4800000000005,2,1,5,8,At Risk
12627.0,11,6,4057.58,1,1,5,7,At Risk
12628.0,4,3,732.46,1,1,3,5,At Risk
12630.0,10,2,1013.9300000000001,1,1,4,6,At Risk
12631.0,57,1,480.5,3,1,3,7,Others
12633.0,59,4,1717.98,3,1,4,8,Others
12635.0,90,2,1509.18,4,1,4,9,Promising
12637.0,67,8,5734.05,3,1,5,9,Others
12638.0,33,1,511.69,2,1,3,6,At Risk
12639.0,239,1,366.1,5,1,2,8,New Customers
12640.0,24,3,960.6800000000001,2,1,4,7,At Risk
12641.0,115,1,145.9,4,1,1,6,New Customers
12642.0,25,3,888.31,2,1,4,7,At Risk
12643.0,128,5,1627.4,4,1,4,9,Promising
12644.0,130,1,477.90999999999997,4,1,3,8,Promising
12645.0,34,4,1631.18,3,1,4,8,Others
12646.0,5,2,1346.97,1,1,4,6,At Risk
12647.0,22,12,3064.02,2,1,5,8,At Risk
12648.0,155,1,300.05,4,1,2,7,New Customers
12649.0,107,3,569.51,4,1,3,8,Promising
12650.0,3,1,242.44,1,1,2,4,At Risk
12651.0,335,1,114.0,5,1,1,7,New Customers
12652.0,331,1,793.98,5,1,3,9,Promising
12653.0,149,2,2209.85,4,1,5,10,Promising
12654.0,11,5,529.98,1,1,3,5,At Risk
12656.0,17,5,3534.42,2,1,5,8,At Risk
12657.0,11,4,1217.18,1,1,4,6,At Risk
12658.0,19,1,632.05,2,1,3,6,At Risk
12659.0,30,1,73.67999999999999,2,1,1,4,About to Sleep
12660.0,11,1,227.10000000000002,1,1,1,3,Hibernating
12662.0,1,11,3513.83,1,1,5,7,At Risk
12664.0,8,9,4391.88,1,1,5,7,At Risk
12665.0,325,1,45.0,5,1,1,7,New Customers
12667.0,58,1,460.13,3,1,3,7,Others
12668.0,12,4,3177.15,1,1,5,7,At Risk
12669.0,151,2,1410.78,4,1,4,9,Promising
12670.0,10,5,2744.05,1,1,5,7,At Risk
12672.0,330,1,225.9,5,1,1,7,New Customers
12673.0,5,2,574.52,1,1,3,5,At Risk
12674.0,39,4,1844.6,3,1,4,8,Others
12676.0,25,6,1091.39,2,1,4,7,At Risk
12678.0,42,9,11797.86,3,1,5,9,Others
12679.0,59,4,951.02,3,1,4,8,Others
12680.0,1,4,790.81,1,1,3,5,At Risk
12681.0,15,22,12365.54,2,1,5,8,At Risk
12682.0,4,31,10641.58,1,1,5,7,At Risk
12683.0,4,14,7617.57,1,1,5,7,At Risk
12684.0,8,6,2021.79,1,1,5,7,At Risk
12685.0,28,6,2575.08,2,1,5,8,At Risk
12686.0,372,1,71.14,5,1,1,7,New Customers
12688.0,114,1,4565.91,4,1,5,10,Promising
12689.0,26,2,1139.6100000000001,2,1,4,7,At Risk
12690.0,206,1,335.01,5,1,2,8,New Customers
12691.0,28,5,927.8,2,1,4,7,At Risk
12693.0,127,4,711.91,4,1,3,8,Promising
12694.0,70,2,761.67,3,1,3,7,Others
12695.0,7,4,582.1,1,1,3,5,At Risk
12697.0,29,3,757.59,2,1,3,6,At Risk
12700.0,8,4,4525.99,1,1,5,7,At Risk
12701.0,80,2,691.8100000000001,4,1,3,8,Promising
12702.0,20,1,201.0,2,1,1,4,About to Sleep
12703.0,71,1,265.55,3,1,2,6,About to Sleep
12704.0,7,8,1715.89,1,1,4,6,At Risk
12705.0,15,8,6382.29,2,1,5,8,At Risk
12707.0,292,1,603.42,5,1,3,9,Promising
